2026-02-24T11:18:04.022381509Z [inf]  Starting Container
2026-02-24T11:18:44.193687265Z [err]  2026-02-24 11:18:44,190 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:44.195587286Z [err]  2026-02-24 11:18:44,190 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'POST']>
2026-02-24T11:18:44.195594368Z [err]  2026-02-24 11:18:44,190 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:44.195601275Z [err]  2026-02-24 11:18:44,190 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'POST']>
2026-02-24T11:18:44.888936945Z [err]  2026-02-24 11:18:44,567 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'POST']>
2026-02-24T11:18:44.888937103Z [err]  2026-02-24 11:18:44,567 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:44.888945823Z [err]  2026-02-24 11:18:44,567 - services.supabase_service - INFO - Created minimal recording session: e54606b2-d561-4260-80a8-7c934c595e56 for doctor: da838cda-47f9-494f-9dcd-6072e7e96d47 (validation_status=pending)
2026-02-24T11:18:44.888946389Z [err]  2026-02-24 11:18:44,567 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:44.888960316Z [err]  2026-02-24 11:18:44,567 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:44.888963794Z [err]  2026-02-24 11:18:44,567 - routers.recording_session - INFO - [START_RECORDING] Session created: session_id=e54606b2-d561-4260-80a8-7c934c595e56, template=CARDIO_INITIAL (validation deferred)
2026-02-24T11:18:44.888966523Z [err]  2026-02-24 11:18:44,566 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 201, b'Created', [(b'Date', b'Tue, 24 Feb 2026 11:18:44 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Server', b'cloudflare'), (b'Content-Range', b'*/*'), (b'CF-Ray', b'9d2e905e3c2cb8f0-AMS'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Encoding', b'gzip'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Vary', b'Accept-Encoding'), (b'X-Content-Type-Options', b'nosniff'), (b'content-profile', b'public'), (b'preference-applied', b'return=representation'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'sicvgpofrpzchnjuaqxa'), (b'sb-request-id', b'019c8f5f-76ea-7a59-91f2-4dcd451bd1ad'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'8'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24T11:18:44.888975213Z [err]  2026-02-24 11:18:44,566 - httpx - INFO - HTTP Request: POST https://sicvgpofrpzchnjuaqxa.supabase.co/rest/v1/recording_sessions "HTTP/1.1 201 Created"
2026-02-24T11:18:44.890185879Z [err]  2026-02-24 11:18:44,569 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'POST']>
2026-02-24T11:18:44.890192135Z [err]  2026-02-24 11:18:44,570 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:44.890197467Z [err]  2026-02-24 11:18:44,570 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'POST']>
2026-02-24T11:18:44.890204417Z [err]  2026-02-24 11:18:44,571 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'POST']>
2026-02-24T11:18:44.890211127Z [err]  2026-02-24 11:18:44,571 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:44.890217098Z [err]  2026-02-24 11:18:44,571 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'POST']>
2026-02-24T11:18:44.890223353Z [err]  2026-02-24 11:18:44,571 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:44.890228928Z [err]  2026-02-24 11:18:44,571 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'POST']>
2026-02-24T11:18:44.890234355Z [err]  2026-02-24 11:18:44,571 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:44.890239691Z [err]  2026-02-24 11:18:44,571 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'POST']>
2026-02-24T11:18:44.896631402Z [err]  2026-02-24 11:18:44,895 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 11:18:44 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Server', b'cloudflare'), (b'Content-Range', b'0-0/*'), (b'CF-Ray', b'9d2e90609faf5286-AMS'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Encoding', b'gzip'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Vary', b'Accept-Encoding'), (b'X-Content-Type-Options', b'nosniff'), (b'content-profile', b'public'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'sicvgpofrpzchnjuaqxa'), (b'sb-request-id', b'019c8f5f-7864-7330-9c09-161e7bd6acd7'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'3'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24T11:18:44.900700233Z [err]  2026-02-24 11:18:44,896 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:44.900711081Z [err]  2026-02-24 11:18:44,898 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'GET']>
2026-02-24T11:18:44.900733882Z [err]  2026-02-24 11:18:44,895 - httpx - INFO - HTTP Request: POST https://sicvgpofrpzchnjuaqxa.supabase.co/rest/v1/rpc/get_processing_mode_config "HTTP/1.1 200 OK"
2026-02-24T11:18:44.900734388Z [err]  2026-02-24 11:18:44,895 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'POST']>
2026-02-24T11:18:44.900751040Z [err]  2026-02-24 11:18:44,895 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:44.900764307Z [err]  2026-02-24 11:18:44,896 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:44.903895213Z [err]  2026-02-24 11:18:44,899 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'GET']>
2026-02-24T11:18:44.903899657Z [err]  2026-02-24 11:18:44,900 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:44.903904516Z [err]  2026-02-24 11:18:44,900 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'GET']>
2026-02-24T11:18:44.903910994Z [err]  2026-02-24 11:18:44,900 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:44.903915080Z [err]  2026-02-24 11:18:44,900 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'GET']>
2026-02-24T11:18:44.903919329Z [err]  2026-02-24 11:18:44,900 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'GET']>
2026-02-24T11:18:44.903923375Z [err]  2026-02-24 11:18:44,901 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:44.903927714Z [err]  2026-02-24 11:18:44,901 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'GET']>
2026-02-24T11:18:44.903933205Z [err]  2026-02-24 11:18:44,901 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:44.903937893Z [err]  2026-02-24 11:18:44,901 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'GET']>
2026-02-24T11:18:44.903942114Z [err]  2026-02-24 11:18:44,901 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:44.903946229Z [err]  2026-02-24 11:18:44,901 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'GET']>
2026-02-24T11:18:44.903950717Z [err]  2026-02-24 11:18:44,901 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:44.903955898Z [err]  2026-02-24 11:18:44,901 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'GET']>
2026-02-24T11:18:44.961326624Z [err]  2026-02-24 11:18:44,956 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 201, b'Created', [(b'Date', b'Tue, 24 Feb 2026 11:18:44 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Server', b'cloudflare'), (b'Content-Range', b'*/*'), (b'CF-Ray', b'9d2e90609efbb8f0-AMS'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Encoding', b'gzip'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Vary', b'Accept-Encoding'), (b'X-Content-Type-Options', b'nosniff'), (b'content-profile', b'public'), (b'preference-applied', b'return=representation'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'sicvgpofrpzchnjuaqxa'), (b'sb-request-id', b'019c8f5f-7867-74be-9a2f-489ee9b15627'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'4'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24T11:18:44.961332494Z [err]  2026-02-24 11:18:44,957 - httpx - INFO - HTTP Request: POST https://sicvgpofrpzchnjuaqxa.supabase.co/rest/v1/api_client_usage "HTTP/1.1 201 Created"
2026-02-24T11:18:44.961338729Z [err]  2026-02-24 11:18:44,957 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'POST']>
2026-02-24T11:18:44.961344169Z [err]  2026-02-24 11:18:44,958 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:44.961350248Z [err]  2026-02-24 11:18:44,958 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:44.961369743Z [err]  2026-02-24 11:18:44,958 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:44.961376258Z [inf]  INFO:     100.64.0.2:36652 - "POST /api/v1/option1/recording/start HTTP/1.1" 200 OK
2026-02-24T11:18:45.241783740Z [err]  2026-02-24 11:18:45,231 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 11:18:45 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'2'), (b'Connection', b'keep-alive'), (b'Server', b'cloudflare'), (b'Content-Range', b'*/*'), (b'CF-Ray', b'9d2e9062ace35286-AMS'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Location', b'/doctor_templates?access_level=eq.use&doctor_id=eq.da838cda-47f9-494f-9dcd-6072e7e96d47&is_active=eq.True&select=template_id%2Caccess_level%2Cis_active%2Ctemplates%28id%2Ctemplate_code%2Ctemplate_name%2Cdescription%2Cconsultation_type_id%2Cis_active%2Cis_default%2Cuse_case%2Cspecialization%2Chospital_id%2Cdoctor_id%2Cestimated_extraction_time_seconds%2Ccreated_at%2Cupdated_at%29'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Content-Type-Options', b'nosniff'), (b'content-profile', b'public'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'sicvgpofrpzchnjuaqxa'), (b'sb-request-id', b'019c8f5f-79ad-75d9-9ff3-7837cf1b3503'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'12'), (b'Vary', b'Accept-Encoding'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24T11:18:45.241789098Z [err]  2026-02-24 11:18:45,232 - httpx - INFO - HTTP Request: GET https://sicvgpofrpzchnjuaqxa.supabase.co/rest/v1/doctor_templates?select=template_id%2Caccess_level%2Cis_active%2Ctemplates%28id%2Ctemplate_code%2Ctemplate_name%2Cdescription%2Cconsultation_type_id%2Cis_active%2Cis_default%2Cuse_case%2Cspecialization%2Chospital_id%2Cdoctor_id%2Cestimated_extraction_time_seconds%2Ccreated_at%2Cupdated_at%29&doctor_id=eq.da838cda-47f9-494f-9dcd-6072e7e96d47&is_active=eq.True&access_level=eq.use "HTTP/1.1 200 OK"
2026-02-24T11:18:45.241794162Z [err]  2026-02-24 11:18:45,232 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'GET']>
2026-02-24T11:18:45.241799481Z [err]  2026-02-24 11:18:45,232 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:45.244170069Z [err]  2026-02-24 11:18:45,232 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:45.244177879Z [err]  2026-02-24 11:18:45,232 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:45.244183927Z [inf]  INFO:     100.64.0.2:36652 - "OPTIONS /api/v1/option1/recording/chunk HTTP/1.1" 200 OK
2026-02-24T11:18:45.244190668Z [err]  2026-02-24 11:18:45,237 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 11:18:45 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Content-Length', b'2'), (b'Connection', b'keep-alive'), (b'Server', b'cloudflare'), (b'Content-Range', b'*/*'), (b'CF-Ray', b'9d2e9062aea82d00-AMS'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Location', b'/templates?doctor_id=eq.da838cda-47f9-494f-9dcd-6072e7e96d47&is_active=eq.True&select=id%2Ctemplate_code%2Ctemplate_name%2Cdescription%2Cconsultation_type_id%2Cis_active%2Cis_default%2Cuse_case%2Cspecialization%2Chospital_id%2Cdoctor_id%2Cestimated_extraction_time_seconds%2Ccreated_at%2Cupdated_at'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Content-Type-Options', b'nosniff'), (b'content-profile', b'public'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'sicvgpofrpzchnjuaqxa'), (b'sb-request-id', b'019c8f5f-79b0-7e72-861e-139481afdbe8'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'11'), (b'Vary', b'Accept-Encoding'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24T11:18:45.244195528Z [err]  2026-02-24 11:18:45,238 - httpx - INFO - HTTP Request: GET https://sicvgpofrpzchnjuaqxa.supabase.co/rest/v1/templates?select=id%2Ctemplate_code%2Ctemplate_name%2Cdescription%2Cconsultation_type_id%2Cis_active%2Cis_default%2Cuse_case%2Cspecialization%2Chospital_id%2Cdoctor_id%2Cestimated_extraction_time_seconds%2Ccreated_at%2Cupdated_at&doctor_id=eq.da838cda-47f9-494f-9dcd-6072e7e96d47&is_active=eq.True "HTTP/1.1 200 OK"
2026-02-24T11:18:45.247011232Z [err]  2026-02-24 11:18:45,238 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'GET']>
2026-02-24T11:18:45.247015601Z [err]  2026-02-24 11:18:45,238 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:45.247021087Z [err]  2026-02-24 11:18:45,238 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:45.247025269Z [err]  2026-02-24 11:18:45,238 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:45.247070733Z [err]  2026-02-24 11:18:45,238 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 11:18:45 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Server', b'cloudflare'), (b'Content-Range', b'0-7/*'), (b'CF-Ray', b'9d2e9062af79fe93-AMS'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Encoding', b'gzip'), (b'Content-Location', b'/templates?doctor_id=is.null&is_active=eq.True&select=id%2Ctemplate_code%2Ctemplate_name%2Cdescription%2Cconsultation_type_id%2Cis_active%2Cis_default%2Cuse_case%2Cspecialization%2Chospital_id%2Cdoctor_id%2Cestimated_extraction_time_seconds%2Ccreated_at%2Cupdated_at'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Vary', b'Accept-Encoding'), (b'X-Content-Type-Options', b'nosniff'), (b'content-profile', b'public'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'sicvgpofrpzchnjuaqxa'), (b'sb-request-id', b'019c8f5f-79b0-7598-b820-8b8efca0bb12'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'10'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24T11:18:45.247076147Z [err]  2026-02-24 11:18:45,241 - httpx - INFO - HTTP Request: GET https://sicvgpofrpzchnjuaqxa.supabase.co/rest/v1/templates?select=id%2Ctemplate_code%2Ctemplate_name%2Cdescription%2Cconsultation_type_id%2Cis_active%2Cis_default%2Cuse_case%2Cspecialization%2Chospital_id%2Cdoctor_id%2Cestimated_extraction_time_seconds%2Ccreated_at%2Cupdated_at&doctor_id=is.null&is_active=eq.True "HTTP/1.1 200 OK"
2026-02-24T11:18:45.250722539Z [err]  2026-02-24 11:18:45,245 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:45.250736014Z [err]  2026-02-24 11:18:45,245 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'POST']>
2026-02-24T11:18:45.250766598Z [err]  2026-02-24 11:18:45,242 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'GET']>
2026-02-24T11:18:45.250773224Z [err]  2026-02-24 11:18:45,242 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:45.250779192Z [err]  2026-02-24 11:18:45,242 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:45.250786358Z [err]  2026-02-24 11:18:45,242 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:45.250792797Z [err]  2026-02-24 11:18:45,243 - services.supabase_service - DEBUG - [GET_TEMPLATES] filter_type='doctor', doctor_id=da838cda-47f9-494f-9dcd-6072e7e96d47, consultation_type_id=None, templates=8
2026-02-24T11:18:45.250798808Z [err]  2026-02-24 11:18:45,244 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'POST']>
2026-02-24T11:18:45.250805361Z [err]  2026-02-24 11:18:45,245 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:45.250810878Z [err]  2026-02-24 11:18:45,245 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'POST']>
2026-02-24T11:18:45.995671416Z [err]  2026-02-24 11:18:45,608 - httpx - INFO - HTTP Request: POST https://sicvgpofrpzchnjuaqxa.supabase.co/rest/v1/rpc/get_template_by_code_unified "HTTP/1.1 200 OK"
2026-02-24T11:18:45.995684696Z [err]  2026-02-24 11:18:45,608 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'POST']>
2026-02-24T11:18:45.995692825Z [err]  2026-02-24 11:18:45,609 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:45.995791530Z [err]  2026-02-24 11:18:45,509 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'GET']>
2026-02-24T11:18:45.995798805Z [err]  2026-02-24 11:18:45,510 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:45.995804933Z [err]  2026-02-24 11:18:45,510 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'GET']>
2026-02-24T11:18:45.995814945Z [err]  2026-02-24 11:18:45,510 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:45.995823893Z [err]  2026-02-24 11:18:45,510 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'GET']>
2026-02-24T11:18:45.995829882Z [err]  2026-02-24 11:18:45,608 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 11:18:45 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Server', b'cloudflare'), (b'Content-Range', b'0-0/*'), (b'CF-Ray', b'9d2e9064cbc7b8f0-AMS'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Encoding', b'gzip'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Vary', b'Accept-Encoding'), (b'X-Content-Type-Options', b'nosniff'), (b'content-profile', b'public'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'sicvgpofrpzchnjuaqxa'), (b'sb-request-id', b'019c8f5f-7b09-7245-9eef-e5e29b4a6a70'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'5'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24T11:18:45.997235330Z [err]  2026-02-24 11:18:45,834 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 11:18:45 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Server', b'cloudflare'), (b'Content-Range', b'0-0/*'), (b'CF-Ray', b'9d2e90667f095286-AMS'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Encoding', b'gzip'), (b'Content-Location', b'/api_clients?api_key_prefix=eq.ehr_xm6g&is_active=eq.True&select=%2A'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Vary', b'Accept-Encoding'), (b'X-Content-Type-Options', b'nosniff'), (b'content-profile', b'public'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'sicvgpofrpzchnjuaqxa'), (b'sb-request-id', b'019c8f5f-7c11-75d0-a40c-5c58ebacbd93'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'2'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24T11:18:45.997243036Z [err]  2026-02-24 11:18:45,609 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:45.997248327Z [err]  2026-02-24 11:18:45,834 - httpx - INFO - HTTP Request: GET https://sicvgpofrpzchnjuaqxa.supabase.co/rest/v1/api_clients?select=%2A&api_key_prefix=eq.ehr_xm6g&is_active=eq.True "HTTP/1.1 200 OK"
2026-02-24T11:18:45.997257326Z [err]  2026-02-24 11:18:45,611 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'PATCH']>
2026-02-24T11:18:45.997267002Z [err]  2026-02-24 11:18:45,611 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:45.997271074Z [err]  2026-02-24 11:18:45,611 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:45.997282851Z [err]  2026-02-24 11:18:45,611 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'PATCH']>
2026-02-24T11:18:45.997284597Z [err]  2026-02-24 11:18:45,611 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'PATCH']>
2026-02-24T11:18:45.997286217Z [err]  2026-02-24 11:18:45,609 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:46.000431587Z [err]  2026-02-24 11:18:45,986 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:46.000440702Z [err]  2026-02-24 11:18:45,986 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:46.000452498Z [err]  2026-02-24 11:18:45,834 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'GET']>
2026-02-24T11:18:46.000459411Z [err]  2026-02-24 11:18:45,834 - httpcore.http11 - DEBUG - receive_response_body.complete
2026-02-24T11:18:46.000466188Z [err]  2026-02-24 11:18:45,834 - httpcore.http11 - DEBUG - response_closed.started
2026-02-24T11:18:46.000495865Z [err]  2026-02-24 11:18:45,834 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:46.000514169Z [err]  2026-02-24 11:18:45,985 - httpcore.http11 - DEBUG - receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Date', b'Tue, 24 Feb 2026 11:18:45 GMT'), (b'Content-Type', b'application/json; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Server', b'cloudflare'), (b'Content-Range', b'0-0/*'), (b'CF-Ray', b'9d2e90671e20b8f0-AMS'), (b'CF-Cache-Status', b'DYNAMIC'), (b'Content-Encoding', b'gzip'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Vary', b'Accept-Encoding'), (b'X-Content-Type-Options', b'nosniff'), (b'content-profile', b'public'), (b'preference-applied', b'return=representation'), (b'sb-gateway-version', b'1'), (b'sb-project-ref', b'sicvgpofrpzchnjuaqxa'), (b'sb-request-id', b'019c8f5f-7c7e-78f3-b7d3-068480cc94a8'), (b'x-envoy-attempt-count', b'1'), (b'x-envoy-upstream-service-time', b'5'), (b'alt-svc', b'h3=":443"; ma=86400')])
2026-02-24T11:18:46.000523195Z [err]  2026-02-24 11:18:45,985 - httpx - INFO - HTTP Request: PATCH https://sicvgpofrpzchnjuaqxa.supabase.co/rest/v1/recording_sessions?id=eq.e54606b2-d561-4260-80a8-7c934c595e56 "HTTP/1.1 200 OK"
2026-02-24T11:18:46.000529481Z [err]  2026-02-24 11:18:45,986 - httpcore.http11 - DEBUG - receive_response_body.started request=<Request [b'PATCH']>
2026-02-24T11:18:46.005377198Z [err]  2026-02-24 11:18:45,986 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:46.159371678Z [err]  2026-02-24 11:18:46,154 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'GET']>
2026-02-24T11:18:46.159376054Z [err]  2026-02-24 11:18:46,155 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:46.159382515Z [err]  2026-02-24 11:18:46,155 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'GET']>
2026-02-24T11:18:46.159387006Z [err]  2026-02-24 11:18:46,155 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:46.159391531Z [err]  2026-02-24 11:18:46,155 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'GET']>
2026-02-24T11:18:46.956233039Z [err]  2026-02-24 11:18:46,518 - httpcore.http11 - DEBUG - response_closed.complete
2026-02-24T11:18:46.956243919Z [err]  2026-02-24 11:18:46,519 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'POST']>
2026-02-24T11:18:46.956250460Z [err]  2026-02-24 11:18:46,519 - httpcore.http11 - DEBUG - send_request_headers.complete
